id,question_number,title,title_slug,difficulty,topics,url,active,notes,source
coin-change,322,零钱兑换,coin-change,MEDIUM,"Breadth-First Search,Array,Dynamic Programming,背包问题,完全背包",https://leetcode.cn/problems/coin-change/,true,,leetcode-hot100
word-break,139,单词拆分,word-break,MEDIUM,"Trie,Memoization,Array,Hash Table,String,Dynamic Programming,Brute-Force Search",https://leetcode.cn/problems/word-break/,true,,leetcode-hot100
longest-increasing-subsequence,300,最长递增子序列,longest-increasing-subsequence,MEDIUM,"Array,Binary Search,Dynamic Programming,最长上升子序列",https://leetcode.cn/problems/longest-increasing-subsequence/,true,,leetcode-hot100
maximum-product-subarray,152,乘积最大子数组,maximum-product-subarray,MEDIUM,"Array,Dynamic Programming",https://leetcode.cn/problems/maximum-product-subarray/,true,,leetcode-hot100
partition-equal-subset-sum,416,分割等和子集,partition-equal-subset-sum,MEDIUM,"Array,Dynamic Programming,背包问题,0-1 背包",https://leetcode.cn/problems/partition-equal-subset-sum/,true,,leetcode-hot100
longest-valid-parentheses,32,最长有效括号,longest-valid-parentheses,HARD,"Stack,String,Dynamic Programming,括号序列",https://leetcode.cn/problems/longest-valid-parentheses/,true,,leetcode-hot100
unique-paths,62,不同路径,unique-paths,MEDIUM,"Math,Dynamic Programming,Combinatorics",https://leetcode.cn/problems/unique-paths/,true,,leetcode-hot100
minimum-path-sum,64,最小路径和,minimum-path-sum,MEDIUM,"Array,Dynamic Programming,Matrix",https://leetcode.cn/problems/minimum-path-sum/,true,,leetcode-hot100
longest-palindromic-substring,5,最长回文子串,longest-palindromic-substring,MEDIUM,"Two Pointers,String,Dynamic Programming,Manacher 算法",https://leetcode.cn/problems/longest-palindromic-substring/,true,,leetcode-hot100
longest-common-subsequence,1143,最长公共子序列,longest-common-subsequence,MEDIUM,"String,Dynamic Programming,最长公共子序列",https://leetcode.cn/problems/longest-common-subsequence/,true,,leetcode-hot100
edit-distance,72,编辑距离,edit-distance,MEDIUM,"String,Dynamic Programming",https://leetcode.cn/problems/edit-distance/,true,,leetcode-hot100
single-number,136,只出现一次的数字,single-number,EASY,"Bit Manipulation,Array",https://leetcode.cn/problems/single-number/,true,,leetcode-hot100
majority-element,169,多数元素,majority-element,EASY,"Array,Hash Table,Divide and Conquer,Counting,Sorting,摩尔投票算法",https://leetcode.cn/problems/majority-element/,true,,leetcode-hot100
sort-colors,75,颜色分类,sort-colors,MEDIUM,"Array,Two Pointers,冒泡排序,Sorting,快速排序",https://leetcode.cn/problems/sort-colors/,true,,leetcode-hot100
next-permutation,31,下一个排列,next-permutation,MEDIUM,"Array,Two Pointers",https://leetcode.cn/problems/next-permutation/,true,,leetcode-hot100
find-the-duplicate-number,287,寻找重复数,find-the-duplicate-number,MEDIUM,"Bit Manipulation,Array,Two Pointers,Binary Search,Floyd 判圈算法,抽屉原理",https://leetcode.cn/problems/find-the-duplicate-number/,true,,leetcode-hot100
